epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9361,0.23553,0.33685,1.33556,0.86597,0.90171,0.94,0.97044,0.96147,0.90171,0.94,0.97044,0.9662,0.12262,0.10565,6.7103,0.61676,0.003325,0.003325,0.003325
2,84.6434,0.27778,0.21067,0.63784,0.86404,0.94725,0.94465,0.97851,0.95952,0.94725,0.94465,0.97851,0.97542,0.18337,0.11357,6.86583,0.62167,0.00665394,0.00665394,0.00665394
3,126.229,0.36712,0.25783,0.67288,0.89405,0.92712,0.94547,0.97916,0.92842,0.92712,0.94547,0.97916,0.9581,0.24943,0.20517,5.11865,0.67942,0.00997848,0.00997848,0.00997848
4,167.777,0.4318,0.33395,0.79896,0.92976,0.80764,0.80953,0.90393,0.85877,0.80925,0.80184,0.90078,0.84131,0.24121,0.33174,10.7213,0.66035,0.0099802,0.0099802,0.0099802
5,209.25,0.4292,0.29998,0.70692,0.91994,0.90575,0.96077,0.97005,0.93455,0.90575,0.96077,0.97005,0.96725,0.24033,0.11978,9.69244,0.65827,0.0099736,0.0099736,0.0099736
6,250.675,0.40479,0.25751,0.65293,0.90921,0.91424,0.93667,0.97703,0.9401,0.91424,0.93667,0.97703,0.97518,0.22735,0.11127,2.41758,0.65185,0.009967,0.009967,0.009967
7,292.176,0.38513,0.23316,0.60624,0.904,0.92895,0.935,0.97333,0.94983,0.93051,0.93667,0.97381,0.97155,0.19673,0.11148,3.4805,0.63608,0.0099604,0.0099604,0.0099604
8,333.722,0.3666,0.21894,0.56675,0.89132,0.97488,0.90902,0.9588,0.93123,0.97488,0.90902,0.95897,0.95683,0.20331,0.10304,12.1171,0.63999,0.0099538,0.0099538,0.0099538
9,375.142,0.35816,0.23439,0.56274,0.8884,0.93077,0.98,0.98453,0.96285,0.93077,0.98,0.98453,0.98243,0.18841,0.09858,3.50104,0.64042,0.0099472,0.0099472,0.0099472
10,416.654,0.35922,0.25022,0.55004,0.8962,0.92087,0.9623,0.98494,0.9623,0.92087,0.9623,0.98494,0.98379,0.18195,0.10425,7.41365,0.6293,0.0099406,0.0099406,0.0099406
11,458.036,0.33692,0.21573,0.51,0.88173,0.9487,0.96466,0.98428,0.96215,0.9487,0.96466,0.98428,0.98272,0.18255,0.09661,4.3336,0.6302,0.009934,0.009934,0.009934
12,499.364,0.32802,0.21185,0.49909,0.87779,0.95931,0.95791,0.98329,0.97273,0.95931,0.95791,0.98329,0.98293,0.15969,0.10446,4.78879,0.62466,0.0099274,0.0099274,0.0099274
13,540.757,0.32642,0.22212,0.48285,0.87554,0.9574,0.96748,0.98881,0.97577,0.9574,0.96748,0.98881,0.98596,0.15885,0.1214,2.35314,0.61849,0.0099208,0.0099208,0.0099208
14,582.197,0.326,0.20861,0.47988,0.87957,0.97123,0.98048,0.99296,0.98208,0.97123,0.98048,0.99296,0.99155,0.1589,0.1062,3.09798,0.62148,0.0099142,0.0099142,0.0099142
15,623.724,0.31213,0.19755,0.43653,0.87531,0.98708,0.98694,0.99242,0.98192,0.98708,0.98694,0.99242,0.99027,0.16218,0.103,1.8065,0.62858,0.0099076,0.0099076,0.0099076
16,664.996,0.30428,0.20262,0.44711,0.8734,0.99065,0.98968,0.9943,0.97735,0.99065,0.98968,0.9943,0.99118,0.16047,0.10045,1.81939,0.62959,0.009901,0.009901,0.009901
17,706.405,0.30282,0.19042,0.43017,0.8722,0.96607,0.98321,0.99253,0.98262,0.96607,0.98321,0.99257,0.99224,0.15773,0.09652,1.92504,0.62532,0.0098944,0.0098944,0.0098944
18,747.833,0.29865,0.18925,0.43265,0.86838,0.98748,0.98425,0.99419,0.98228,0.98748,0.98425,0.99419,0.99233,0.15393,0.09491,0.9575,0.61769,0.0098878,0.0098878,0.0098878
19,789.297,0.28755,0.19789,0.41094,0.87216,0.97453,0.99182,0.99372,0.98615,0.97453,0.99182,0.99372,0.99303,0.13835,0.0979,1.16931,0.61783,0.0098812,0.0098812,0.0098812
20,830.808,0.28031,0.18366,0.3977,0.8581,0.98626,0.99667,0.9943,0.98829,0.98626,0.99667,0.9943,0.99362,0.14223,0.08974,1.37644,0.61156,0.0098746,0.0098746,0.0098746
21,872.239,0.28721,0.19811,0.40223,0.86388,0.97424,0.98655,0.99378,0.98401,0.97424,0.98655,0.99378,0.99249,0.14789,0.10058,1.32838,0.62026,0.009868,0.009868,0.009868
22,913.613,0.28388,0.18894,0.38543,0.86657,0.98462,0.97167,0.99291,0.98652,0.98462,0.97167,0.99291,0.99238,0.13776,0.09941,1.99869,0.61508,0.0098614,0.0098614,0.0098614
23,955.075,0.27729,0.19062,0.39604,0.86488,0.98635,0.98827,0.9935,0.9847,0.98635,0.98827,0.9935,0.99224,0.13312,0.09567,1.8498,0.61707,0.0098548,0.0098548,0.0098548
24,996.464,0.27074,0.19078,0.39356,0.85954,0.98368,0.995,0.99211,0.98644,0.98368,0.995,0.99211,0.99094,0.12682,0.10152,1.49585,0.6106,0.0098482,0.0098482,0.0098482
