epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53684,0.57068,0.79609,3.74369,0.94927,0.25145,0.5,0.11154,0.06368,0.23768,0.45,0.09097,0.03587,2.07483,21.3093,717.486,3.44307,0.000464425,0.000464425,0.000464425
2,9.32438,0.82612,0.60986,2.45702,1.13138,0.25145,0.5,0.11154,0.06368,0.23768,0.45,0.09097,0.03587,4.88166,nan,inf,1119.3,0.000940137,0.000940137,0.000940137
3,14.1782,1.13038,0.71799,2.28433,1.34694,0.00092,0.1,0.00053,0.00031,0.00088,0.06667,0.00049,9e-05,3.3687,4675.12,nan,96.4839,0.00141522,0.00141522,0.00141522
4,18.8376,1.0312,0.55804,2.03158,1.30057,3e-05,0.01667,2e-05,0,0,0,0,0,5.01402,nan,inf,92.8499,0.00142617,0.00142617,0.00142617
5,23.4275,0.90217,0.54165,1.65767,1.15358,3e-05,0.01667,2e-05,0,0,0,0,0,1.95322,386.625,7616.81,5.5173,0.00142523,0.00142523,0.00142523
6,28.0678,0.97871,0.51963,1.53118,1.19099,0.37841,0.61667,0.3791,0.25515,0.37841,0.61667,0.38835,0.31364,1.21132,14.3071,6.25951,1.88845,0.00142428,0.00142428,0.00142428
7,32.7688,0.79503,0.41584,1.39455,1.10245,0.52943,0.76772,0.52798,0.36455,0.4991,0.82002,0.54061,0.49066,1.12487,0.25239,2.9213,1.65706,0.00142334,0.00142334,0.00142334
8,37.4975,0.77944,0.46734,1.37194,1.08657,0.5354,0.89604,0.72146,0.55852,0.5354,0.89604,0.7328,0.61728,0.72892,0.64278,3.18759,1.30634,0.0014224,0.0014224,0.0014224
9,42.211,0.73831,0.41124,1.26971,1.05623,0.51567,0.75,0.6957,0.56165,0.51567,0.75,0.6957,0.64321,0.71518,0.26962,3.69686,1.14337,0.00142145,0.00142145,0.00142145
10,46.9255,0.74209,0.43898,1.35986,1.05638,0.49809,0.58785,0.53259,0.41604,0.49809,0.58785,0.53259,0.40281,0.84268,0.9458,4.10596,1.32296,0.00142051,0.00142051,0.00142051
11,51.5189,0.66788,0.44144,1.21775,0.99658,0.4672,0.43176,0.45263,0.2981,0.4672,0.43176,0.45202,0.30993,1.22842,5.77341,2.31769,1.7432,0.00141957,0.00141957,0.00141957
12,56.1246,0.68267,0.51246,1.14814,1.00876,0.40916,0.43419,0.47451,0.3408,0.40916,0.43419,0.46717,0.37541,1.57739,9.84204,3.43384,1.7846,0.00141863,0.00141863,0.00141863
13,60.7366,0.65012,0.36823,1.145,0.98106,0.67764,0.78222,0.80024,0.68719,0.67764,0.78222,0.80024,0.75916,0.60075,0.26856,2.57083,1.07332,0.00141768,0.00141768,0.00141768
14,65.4617,0.69229,0.4326,1.14975,1.04364,0.7937,0.85044,0.88046,0.73403,0.7937,0.85044,0.88046,0.83556,0.59282,0.27024,1.36241,1.0782,0.00141674,0.00141674,0.00141674
15,70.1733,0.6777,0.48965,1.13411,1.01573,0.81083,0.84917,0.88491,0.74609,0.81083,0.84917,0.88491,0.83392,0.61571,0.30551,1.56793,1.07944,0.0014158,0.0014158,0.0014158
16,74.8859,0.61923,0.41271,1.03879,0.97834,0.81521,0.91536,0.89982,0.80454,0.81521,0.91536,0.89982,0.85789,0.50678,0.25594,1.59036,1.00621,0.00141485,0.00141485,0.00141485
17,79.5868,0.59973,0.4428,1.06228,0.95513,0.71666,0.8831,0.8934,0.80792,0.71666,0.8831,0.8934,0.84781,0.5094,0.28715,1.38224,0.98157,0.00141391,0.00141391,0.00141391
18,84.1753,0.63181,0.38745,1.11775,0.97355,0.82126,0.96541,0.92702,0.82844,0.82126,0.96541,0.92702,0.87158,0.51663,0.28952,1.83597,0.98946,0.00141297,0.00141297,0.00141297
19,88.8776,0.63352,0.37979,1.03506,0.98923,0.83912,0.91667,0.92203,0.81049,0.83912,0.91667,0.92203,0.87319,0.52926,0.33962,1.60355,1.01195,0.00141202,0.00141202,0.00141202
20,93.4784,0.56166,0.40057,0.96819,0.96213,0.84734,0.82582,0.9085,0.8212,0.84734,0.82582,0.9085,0.86209,0.49872,0.25023,2.06874,0.98298,0.00141108,0.00141108,0.00141108
21,98.0874,0.58336,0.38711,1.04205,0.94672,0.74483,0.85819,0.92398,0.82145,0.74483,0.85819,0.92398,0.88463,0.48603,0.26679,1.4349,0.96966,0.00141014,0.00141014,0.00141014
22,102.806,0.52953,0.39586,0.98464,0.93388,0.82013,0.88903,0.90751,0.83109,0.82013,0.88903,0.90751,0.86761,0.48468,0.25887,1.34404,0.95676,0.00140919,0.00140919,0.00140919
23,107.398,0.49878,0.38182,0.95103,0.929,0.76816,0.96255,0.90485,0.80309,0.76816,0.96255,0.90485,0.85333,0.49753,0.32598,1.38862,0.9671,0.00140825,0.00140825,0.00140825
24,112.003,0.53715,0.33562,0.92642,0.92915,0.87243,0.89405,0.92597,0.83371,0.87243,0.89405,0.92597,0.88062,0.51787,0.24511,1.28203,0.97326,0.00140731,0.00140731,0.00140731
25,116.735,0.54637,0.34856,0.99125,0.94918,0.78198,0.97063,0.92702,0.84388,0.78198,0.97063,0.92702,0.88967,0.49955,0.24392,1.43732,0.97008,0.00140636,0.00140636,0.00140636
26,121.471,0.54804,0.37499,0.96481,0.93133,0.79363,0.95891,0.88907,0.79078,0.79363,0.95891,0.88907,0.82662,0.48239,0.33365,1.46673,0.97106,0.00140542,0.00140542,0.00140542
27,126.075,0.55553,0.39884,0.94474,0.95332,0.80855,0.95288,0.95615,0.88975,0.80855,0.95288,0.95615,0.91487,0.4375,0.29756,1.40383,0.95546,0.00140448,0.00140448,0.00140448
28,130.779,0.52037,0.37185,0.89507,0.93798,0.7689,0.93493,0.92368,0.83482,0.7689,0.93493,0.92368,0.87218,0.49932,0.24557,1.19382,0.96397,0.00140354,0.00140354,0.00140354
29,135.367,0.52087,0.40246,0.93012,0.95786,0.78943,0.87315,0.84446,0.7597,0.78943,0.87315,0.84446,0.79738,0.4999,0.27858,1.43625,0.9673,0.00140259,0.00140259,0.00140259
30,139.954,0.50621,0.36158,0.89331,0.93843,0.78404,0.96886,0.87391,0.78561,0.78404,0.96886,0.87391,0.83232,0.4761,0.24665,1.40351,0.96198,0.00140165,0.00140165,0.00140165
31,144.546,0.47329,0.35797,0.93231,0.91554,0.79296,0.91011,0.88053,0.80492,0.79296,0.91011,0.88053,0.83816,0.43524,0.25811,1.58097,0.93857,0.00140071,0.00140071,0.00140071
32,149.106,0.50142,0.36575,0.89403,0.90473,0.74431,0.83306,0.81375,0.70977,0.74431,0.83306,0.81113,0.75818,0.5596,0.42599,1.56526,1.01356,0.00139976,0.00139976,0.00139976
33,153.714,0.50333,0.35048,0.8629,0.92882,0.8123,0.92239,0.92078,0.85593,0.8123,0.92239,0.92078,0.88376,0.43737,0.26081,1.20988,0.93033,0.00139882,0.00139882,0.00139882
34,158.292,0.46711,0.3555,0.83339,0.91389,0.79527,0.95809,0.92546,0.84981,0.79527,0.95809,0.92546,0.88718,0.43373,0.2367,1.23992,0.94044,0.00139788,0.00139788,0.00139788
35,162.88,0.46866,0.35363,0.86555,0.90107,0.77874,1,0.89896,0.84093,0.77874,1,0.89896,0.86392,0.40777,0.21036,1.16597,0.91355,0.00139693,0.00139693,0.00139693
36,167.48,0.54135,0.34062,0.92116,0.97022,0.78736,0.96069,0.93848,0.86142,0.78736,0.96069,0.93848,0.91696,0.41396,0.23639,1.31631,0.92271,0.00139599,0.00139599,0.00139599
37,172.07,0.4644,0.35032,0.86298,0.92334,0.64005,0.98328,0.90342,0.80627,0.64005,0.98328,0.90342,0.86117,0.51858,0.25674,1.80059,0.97848,0.00139505,0.00139505,0.00139505
38,176.676,0.52274,0.3677,0.88883,0.94642,0.7836,0.96667,0.90468,0.82754,0.7836,0.96667,0.90468,0.87639,0.46797,0.21574,1.63549,0.96138,0.0013941,0.0013941,0.0013941
39,181.263,0.49157,0.35168,0.897,0.93259,0.83862,0.91272,0.91319,0.84339,0.83862,0.91272,0.91319,0.8783,0.39724,0.27258,1.20092,0.92065,0.00139316,0.00139316,0.00139316
40,185.848,0.49326,0.34679,0.83515,0.9321,0.71638,0.9,0.92135,0.83424,0.71638,0.9,0.92135,0.87691,0.46429,0.25199,1.46601,0.95797,0.00139222,0.00139222,0.00139222
41,190.421,0.46372,0.35477,0.85199,0.92599,0.7886,0.9927,0.92116,0.83691,0.7886,0.9927,0.92116,0.87361,0.46955,0.27604,1.34276,0.97276,0.00139127,0.00139127,0.00139127
42,195.007,0.49047,0.33654,0.83881,0.91371,0.81607,0.93382,0.92185,0.86059,0.81607,0.93382,0.92185,0.88959,0.43928,0.22688,1.29877,0.95753,0.00139033,0.00139033,0.00139033
43,199.599,0.45167,0.35734,0.83257,0.91392,0.6759,0.84306,0.79307,0.72825,0.6759,0.84306,0.79307,0.76515,0.43628,0.25298,1.40351,0.93658,0.00138939,0.00138939,0.00138939
44,204.179,0.46842,0.36046,0.79027,0.89409,0.73475,0.91667,0.83993,0.79309,0.73475,0.91667,0.83993,0.81577,0.42476,0.24169,2.12878,0.91224,0.00138844,0.00138844,0.00138844
45,208.785,0.48636,0.36282,0.82513,0.91072,0.77359,0.95,0.90962,0.82839,0.77359,0.95,0.90962,0.87242,0.4615,0.22725,1.42102,0.93042,0.0013875,0.0013875,0.0013875
46,213.376,0.43919,0.35003,0.78702,0.89758,0.78885,0.96667,0.90659,0.84647,0.78885,0.96667,0.90659,0.86725,0.42787,0.27594,1.37814,0.92169,0.00138656,0.00138656,0.00138656
47,217.965,0.45638,0.37339,0.79742,0.91031,0.7035,0.9699,0.83601,0.78273,0.7035,0.9699,0.83601,0.80979,0.3738,0.2508,1.36566,0.905,0.00138562,0.00138562,0.00138562
48,222.552,0.476,0.32816,0.82488,0.92031,0.77274,0.98211,0.88939,0.82301,0.77274,0.98211,0.88939,0.86431,0.41867,0.23701,1.32761,0.90961,0.00138467,0.00138467,0.00138467
49,227.156,0.48474,0.34936,0.78085,0.93573,0.75988,0.89212,0.89679,0.80216,0.75988,0.89212,0.89679,0.86968,0.64102,0.28406,1.83371,1.0316,0.00138373,0.00138373,0.00138373
50,231.742,0.44454,0.33441,0.7803,0.90599,0.79656,0.9,0.92304,0.86159,0.79656,0.9,0.92304,0.89785,0.41179,0.25948,1.17303,0.91856,0.00138279,0.00138279,0.00138279
51,236.347,0.42231,0.34212,0.7834,0.89669,0.80055,0.87376,0.94185,0.86047,0.80055,0.87376,0.94185,0.90999,0.42403,0.25973,1.54727,0.94111,0.00138184,0.00138184,0.00138184
52,240.947,0.45527,0.34383,0.72684,0.91882,0.82437,0.90589,0.8852,0.82497,0.82437,0.90589,0.8852,0.85598,0.41634,0.2408,1.74458,0.91127,0.0013809,0.0013809,0.0013809
53,245.556,0.45467,0.3276,0.7524,0.92784,0.82538,0.97443,0.9264,0.86123,0.82538,0.97443,0.9264,0.896,0.42653,0.252,1.8565,0.93022,0.00137996,0.00137996,0.00137996
54,250.154,0.44703,0.37101,0.73952,0.88562,0.77586,0.93999,0.92851,0.85644,0.77586,0.93999,0.92851,0.87632,0.42836,0.31535,1.53792,0.95152,0.00137901,0.00137901,0.00137901
55,254.762,0.45334,0.3776,0.77727,0.91259,0.80172,0.93435,0.91116,0.84537,0.80172,0.93435,0.91116,0.88043,0.38597,0.27257,1.27341,0.91288,0.00137807,0.00137807,0.00137807
56,259.378,0.45902,0.37117,0.70592,0.92006,0.85742,0.91888,0.93863,0.885,0.85742,0.91888,0.93863,0.90029,0.37891,0.27088,1.03788,0.9125,0.00137713,0.00137713,0.00137713
57,263.988,0.43322,0.34294,0.75956,0.88575,0.7822,0.94627,0.91749,0.87176,0.7822,0.94627,0.91749,0.88387,0.40608,0.26229,1.48879,0.91113,0.00137618,0.00137618,0.00137618
58,268.585,0.42647,0.31768,0.70874,0.90508,0.76168,0.91667,0.90059,0.85226,0.76168,0.91667,0.90059,0.86977,0.38396,0.27096,1.4517,0.91789,0.00137524,0.00137524,0.00137524
59,273.19,0.4261,0.31357,0.73339,0.8995,0.79353,0.95,0.93125,0.88018,0.79353,0.95,0.93125,0.89204,0.38715,0.23311,1.19199,0.91909,0.0013743,0.0013743,0.0013743
60,277.77,0.42196,0.3567,0.73628,0.8984,0.8072,0.98861,0.91966,0.85947,0.8072,0.98861,0.91966,0.90055,0.36942,0.22218,1.30673,0.92741,0.00137335,0.00137335,0.00137335
61,282.363,0.41374,0.32051,0.69246,0.89626,0.86733,0.93121,0.91879,0.882,0.86733,0.93121,0.91879,0.88703,0.36198,0.23918,1.05192,0.88625,0.00137241,0.00137241,0.00137241
62,286.964,0.45364,0.36083,0.69941,0.91195,0.80839,0.90348,0.94449,0.87702,0.80839,0.90348,0.94449,0.91065,0.37798,0.30798,0.97132,0.90878,0.00137147,0.00137147,0.00137147
