epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66738,0.53937,0.70998,3.52436,0.96132,0.04474,0.3,0.05274,0.02583,0.04667,0.33333,0.05919,0.04736,1.4607,1.63485,330.964,2.84882,0.000464425,0.000464425,0.000464425
2,9.35358,0.9388,0.46331,2.59256,1.11059,0.00298,0.41667,0.00491,0.00174,0.0032,0.48333,0.00501,0.00311,1.89022,7.72257,inf,3.69403,0.000940137,0.000940137,0.000940137
3,13.9681,1.10709,0.57048,2.37653,1.22098,0.00298,0.41667,0.00491,0.00174,0.0032,0.48333,0.00501,0.00311,nan,nan,nan,nan,0.00141522,0.00141522,0.00141522
4,18.5595,1.12831,0.47123,2.19899,1.26367,0.33394,0.16667,0.00045,8e-05,0.00107,0.16667,0.00135,0.00036,4.35099,731.983,inf,50.0878,0.00142617,0.00142617,0.00142617
5,23.1469,0.87817,0.405,1.70478,1.09208,0.0092,0.65,0.01111,0.00659,0.00916,0.65,0.01311,0.0091,1.28021,6.85584,151.72,2.19686,0.00142523,0.00142523,0.00142523
6,27.737,0.9506,0.39492,1.80702,1.13414,0.40135,0.68173,0.40557,0.27464,0.48209,0.58886,0.44099,0.39354,1.04505,0.23443,9.42998,1.52894,0.00142428,0.00142428,0.00142428
7,32.4613,0.85451,0.37596,1.6506,1.05689,0.31994,0.55,0.48658,0.32734,0.45726,0.66609,0.62563,0.44398,0.92015,0.26226,8.18843,1.36141,0.00142334,0.00142334,0.00142334
8,37.1959,0.88334,0.33314,1.51031,1.10231,0.44107,0.68087,0.57225,0.45089,0.44107,0.68087,0.57225,0.56224,0.77887,0.21497,3.76556,1.07074,0.0014224,0.0014224,0.0014224
9,41.9597,0.83961,0.51851,1.41626,1.09138,0.31261,0.83564,0.52376,0.43065,0.31683,0.85231,0.52603,0.50171,0.69707,0.27581,2.84587,1.03625,0.00142145,0.00142145,0.00142145
10,46.5523,0.87275,0.43886,1.46511,1.10428,0.4408,0.67064,0.59125,0.43986,0.4408,0.67064,0.59663,0.55007,0.93857,0.2561,1.99476,1.1923,0.00142051,0.00142051,0.00142051
11,51.144,0.73573,0.28901,1.35467,1.00792,0.56449,0.6379,0.64836,0.55602,0.56449,0.6379,0.64836,0.63721,0.60739,0.16818,1.80964,0.94011,0.00141957,0.00141957,0.00141957
12,55.8479,0.61713,0.25273,1.19442,0.96565,0.52698,0.7489,0.7007,0.63336,0.52698,0.7489,0.7007,0.69547,0.53861,0.1601,1.83225,0.9336,0.00141863,0.00141863,0.00141863
13,60.5701,0.6106,0.29142,1.25649,0.95357,0.64696,0.85199,0.78873,0.70093,0.64696,0.85199,0.78873,0.78497,0.49531,0.17024,2.03019,0.89464,0.00141768,0.00141768,0.00141768
14,65.2903,0.60728,0.23963,1.29725,0.96263,0.54961,0.85555,0.7003,0.62177,0.54961,0.85555,0.7003,0.68924,0.53379,0.15367,2.06179,0.90862,0.00141674,0.00141674,0.00141674
15,69.884,0.609,0.2689,1.25154,0.97154,0.66761,0.75407,0.72699,0.63103,0.66761,0.75407,0.72699,0.71352,0.55741,0.15286,2.04195,0.95378,0.0014158,0.0014158,0.0014158
16,74.4836,0.59728,0.28221,1.23615,0.96768,0.63623,0.66667,0.69839,0.61973,0.63623,0.66667,0.69839,0.68702,0.55275,0.17173,1.81901,0.995,0.00141485,0.00141485,0.00141485
17,79.0773,0.56797,0.23194,1.19696,0.93722,0.57033,0.8,0.69484,0.60864,0.57033,0.8,0.69484,0.68774,0.51201,0.18833,1.89543,0.90624,0.00141391,0.00141391,0.00141391
18,83.6677,0.64479,0.30839,1.2027,0.96605,0.65782,0.84806,0.76392,0.67405,0.65782,0.84806,0.76392,0.7542,0.47489,0.17755,2.59334,0.90269,0.00141297,0.00141297,0.00141297
19,88.2673,0.77278,0.51066,1.30592,1.07702,0.59841,0.83192,0.7185,0.62217,0.59841,0.83192,0.7185,0.71156,0.61811,0.16482,1.89093,1.0325,0.00141202,0.00141202,0.00141202
20,92.8802,0.59958,0.25785,1.15692,0.96381,0.61682,0.83333,0.74444,0.68765,0.61682,0.83333,0.74444,0.73205,0.44877,0.20901,1.8549,0.89004,0.00141108,0.00141108,0.00141108
21,97.5043,0.53037,0.26773,1.14475,0.92787,0.63976,0.71976,0.75954,0.67887,0.63976,0.71976,0.75954,0.74964,0.48612,0.14035,1.65246,0.9136,0.00141014,0.00141014,0.00141014
22,102.121,0.71305,0.55259,1.32515,1.02356,0.54961,0.69372,0.56304,0.44953,0.54961,0.69372,0.56316,0.52111,0.81615,0.21922,6.02413,1.10739,0.00140919,0.00140919,0.00140919
23,106.712,0.60675,0.26081,1.23319,0.96664,0.57634,0.81667,0.71881,0.64885,0.57634,0.81667,0.71881,0.71516,0.50653,0.1515,2.05826,0.9102,0.00140825,0.00140825,0.00140825
24,111.309,0.57748,0.33276,1.12558,0.97105,0.38122,0.71251,0.63038,0.53962,0.38122,0.71251,0.63038,0.61003,0.57412,0.18929,2.31851,1.01109,0.00140731,0.00140731,0.00140731
25,115.909,0.5718,0.23564,1.196,0.9802,0.50213,0.79275,0.64408,0.55803,0.50213,0.79275,0.64408,0.63678,0.5456,0.16029,2.14288,0.9485,0.00140636,0.00140636,0.00140636
26,120.504,0.53836,0.25316,1.13618,0.95332,0.61426,0.93333,0.73863,0.68023,0.61426,0.93333,0.73863,0.72937,0.46129,0.16943,1.89739,0.90583,0.00140542,0.00140542,0.00140542
27,125.1,0.5418,0.25827,1.20937,0.93263,0.56712,0.6,0.62378,0.55882,0.56712,0.6,0.62378,0.60518,0.50387,0.14389,2.42656,0.94147,0.00140448,0.00140448,0.00140448
28,129.69,0.53389,0.22035,1.18027,0.93548,0.61676,0.93333,0.74395,0.65086,0.61676,0.93333,0.74395,0.74152,0.62974,0.15071,1.58198,0.96459,0.00140354,0.00140354,0.00140354
29,134.282,0.53456,0.30262,1.1426,0.9428,0.67244,0.75,0.72564,0.62196,0.67244,0.75,0.72564,0.69931,0.50099,0.16248,1.64371,0.92549,0.00140259,0.00140259,0.00140259
30,138.891,0.46904,0.20653,1.06711,0.91099,0.53853,0.85,0.69471,0.6377,0.53853,0.85,0.69471,0.69346,0.40348,0.15014,1.79713,0.86995,0.00140165,0.00140165,0.00140165
31,143.492,0.42021,0.1969,1.05567,0.88576,0.64812,0.7904,0.73288,0.63834,0.64812,0.7904,0.73288,0.72167,0.46888,0.15274,2.30659,0.91237,0.00140071,0.00140071,0.00140071
32,148.083,0.4626,0.23827,1.13896,0.90061,0.36333,0.8075,0.57277,0.51678,0.36325,0.80856,0.57637,0.55682,0.47147,0.17006,2.60146,0.9953,0.00139976,0.00139976,0.00139976
33,152.679,0.4661,0.22375,1.059,0.90173,0.6119,0.75817,0.70087,0.65501,0.6119,0.75817,0.70087,0.6996,0.3764,0.16345,2.062,0.8744,0.00139882,0.00139882,0.00139882
34,157.271,0.48494,0.22771,1.06979,0.90525,0.67932,0.85016,0.73763,0.6606,0.67932,0.85016,0.73763,0.73415,0.44828,0.16952,1.60888,0.87557,0.00139788,0.00139788,0.00139788
35,161.877,0.46161,0.2273,1.07805,0.89698,0.57914,0.73542,0.71712,0.66313,0.57914,0.73542,0.71712,0.70241,0.42249,0.16074,1.90049,0.89501,0.00139693,0.00139693,0.00139693
36,166.478,0.51399,0.27448,1.11273,0.92279,0.676,0.74929,0.72515,0.66445,0.676,0.74929,0.72515,0.71833,0.39941,0.14966,1.6879,0.8716,0.00139599,0.00139599,0.00139599
37,171.081,0.55946,0.29304,1.11917,0.94032,0.56995,0.77944,0.67575,0.61118,0.56995,0.77944,0.67575,0.67078,0.42332,0.17059,1.81803,0.88664,0.00139505,0.00139505,0.00139505
38,175.677,0.51603,0.281,1.12924,0.92207,0.56007,0.86667,0.71407,0.67088,0.56007,0.86667,0.71407,0.70814,0.37992,0.16706,1.70225,0.87189,0.0013941,0.0013941,0.0013941
